Content,Domain,Sentiment,Discrimination,,Channel
"As Sri Lanka's economic and political crisis deepens, the government has proposed a new Employment Act that would reform 13 existing labor laws. This means extending working hours, eliminating unfair dismissal protections, and limiting union and collective bargaining rights. There are also concerns that the process of reforming labor laws is community-centered and democratic. Specially avoiding the labor advisory council established by the government and resorting to these reforms raises questions about the democratic nature of the process. This reform will further worsen the plight of workers, worsened by the pandemic and the economic crisis. These are some of the ideas presented in this regard.

ශ්‍රී ලංකාවේ ආර්ථික හා දේශපාලන අර්බුදය දිගින් දිගටම දරුණු වෙමින් තිබෙන නිසා, දැනට පවතින කම්කරු නීති 13 ක් ප්‍රතිසංස්කරණය කෙරෙන නව රැකියා පනතක් රජය විසින් යෝජනා කර තිබෙනවා.. වැඩ කරන කාලය දීර්ඝ කිරීම, අසාධාරණ ලෙස සේවයෙන් පහකිරීමේ ආරක්ෂාව ඉවත් කිරීම සහ වෘත්තීය සමිති හා සාමූහික කටයුතු සඳහා වන අයිතීන් සීම කිරීමට මේ නව ප්‍රතිසංස්කරණයන් මගින් යෝජනාවී තිබෙනවා. ඒ වගේම මේ ප්‍රතිසංස්කරණ ක්‍රියාවලිය ප්‍රජා කේන්ද්‍රීය හා ප්‍රජාතන්ත්‍රවාදීද යන්න පිළිබඳවත් ගැටළු පවතිනවා. රජය විසින් පිහිටුවා තිබූ කම්කරු  උපදේශක සභාව මගහැර යමින් මෙම ප්‍රතිසංස්කරණයන්ට යොමුවීම මගින්  එම ක්‍රියාවලියේ ප්‍රජාතන්ත්‍රවාදී බව පිළිබඳව ගැටළු ඇතිවනවා. මෙම ප්‍රතිසංස්කරණය කම්කරුවන් වසංගතයෙන් හා ආර්ථික අර්බුධයෙන් පීඩාවට පත්ව සිටින මොහොතක ඔවුන්ව තව තවත් පීඩාවට පත් කරන්නක් වනවා. මේ සම්බන්ධයෙන් වෘත්තියවේදීන් සහ ප්‍රජා ක්‍රියාකාරීන් දැක්වූ අදහස්.",None,None,None,,Social Media
"Training on Gender equality and Sexual and Gender Based Violence (SGBV) for Police Officers in Hambantota

SLCDF was able to provide unique training for a group of female Police Officers who are dedicated to the national security of the country. 

Twenty five Officers from Women Police Superintendents (WPS), Women Inspectors of Police (WIP), Women Sub Inspectors of Police (WPI) to Women Police Constables (WPC) participated representing Hambantota district.

A 3-Day Training programme was organized on September 7th, 8th and 9th by SLCDF, with the financial support of Global Affairs Canada through Developing World Connections, resulted in awareness creation about SGBV. 

A special objective in this training was to develop the capacity of female police officers to deal more formally and effectively and efficiently to the complaints they receive on Gender based Violence.

This programme was coordinated by Hambantota District Consortium.",Women,Positive,Non Discriminative,,Social Media
"An empowering Mental Health and Psychosocial Support session for health care workers in Nuwara Eliya was conducted by UNFPA Sri Lanka.

✴️ Let's stand together and uplift their spirits, as they navigate the impact of COVID-19 and economic turmoil. #MentalHealth

Kapila Rasnayaka | UNFPA Asia and the Pacific",None,Positive,Non Discriminative,,Social Media
"💡 #DidYouKnow: Climate change increases gender inequality?

During#COP28, get all the facts from @‌UNFPA and join the global call for urgent #ClimateAction: https://unf.pa/ftw

#GlobalGoals",Women,None,Non Discriminative,,Social Media
"Attending Clinical Management of Rape trainings empowers healthcare professionals with the necessary knowledge and skills to deliver compassionate care to survivors.

Offering timely and sensitive support is a critical element in the journey towards healing and achieving justice. By promoting awareness and providing training for healthcare providers on Gender-Based Violence (GBV), we are taking a crucial stride in preventing such acts within our communities. Our commitment lies in advocating for this pivotal work, as it paves the way for a safer and more equitable world for everyone.

UNFPA Sri Lanka conducted intensive training sessions on clinical management of rape and preventing gender-based violence, equipping public health midwives and supporting staff in Colombo Municipality.",Women,Positive,Non Discriminative,,Social Media
"Did you know that 1 in 3 women worldwide has experienced physical or sexual violence?

Learn how women and children can stay protected on public transport 🚸 

#satynmag #womensafety #iwd #srilanka #publictransport #childrensafety #womensday #womensweek #safetyfirst",Women,None,Non Discriminative,,Social Media
"Yesterday marked another step forward in our journey. Sunethra and Renuka are two amazing women leaders and social entrepreneurs we were introduced to through the UNDP GEF SGP program. We have supported and capacitated and informally worked with them throughout the last 6 years. Both of them have amazing stories that have broken all barriers and ceilings. Over the years they have built regional networks and like-minded women's circles spanning thousands of people and families. This is a beautiful network of impact and change. Today we officially signed an MOU and made our informal working arrangements more formal and formidable with the two organizations run by these two amazing ladies ‘Weligepola All Women’s Association for Integrated Community Development’(වැලිගෙපොල ඒකාබද්ධ ප්රජා සංවර්ධනය කාන්තා මහා සංගමය) and ‘Human Development Foundation of Sri Lanka’ to unite our forces and to accelerate our impact. Together we will achieve more impact and positive change.

Mms Marasinghe @RenukaGunawardane  Seroshi Nandasiri  Karu Gamage Kantha Maha sangamaya weligepola @HDFSL

#wif #womensupportingwomen #womenempowement #women #empoweringwomen #womenorganization #womenworkingtogether #srilankawomen #srilankawomenorganisations",Women,Positive,Non Discriminative,,Social Media
"Rosh Kumarasinghe is redefining beauty! 

The founder of Beauty by Rosh, a cruelty-free and inclusive cosmetics brand, also graced the cover of VOGUE India and now challenges beauty norms with BARE, her initiative for self-love and acceptance. 

But her journey is just beginning! Read her inspiring story in the latest issue of the Pulse Magazine now available on PickMe Market: https://a.pickme.lk/R4xu3nj8UFb 

The Pulse Magazine is also available at Celeste Daily, Urban Island, The BAREFOOT Bookshop, Poru Flore (OGF), and Luxe Colombo (Flower Road).",None,Positive,Non Discriminative,,Social Media
"#China 

Woman human rights defender Li Qiaochu has been sentenced to 3 years and 8 months in prison and 2 years of “deprivation of political rights''. 

We strongly condemn the ongoing judicial harassment of Li Qiaochu and call on Chinese authorities to quash the conviction against her:

https://www.frontlinedefenders.org/en/case/woman-human-rights-defender-li-qiaochu-sentenced-three-years-and-eight-months-prison?utm_source=facebook&utm_medium=Zoho+Social",None,None,None,,Social Media
"Sri Lanka's progress in women's health is commendable, but many women still face barriers in decision-making. 

UNFPA Sri Lanka has been empowering women and girls for 5⃣0⃣ years, making their lives brighter. 💫💫💫

UNFPA | UNFPA Asia and the Pacific",Women,Positive,Non Discriminative,,Social Media
"The case against HRD and Mayan Q'eqchi community journalist Carlos Ernesto Choc Chub and three artisanal fishermen for the crime of illegal detentions was dismissed yesterday.

In a seven year struggle, the journalist faced digital attacks, threats, raids on his home, and judicial harassment on fabricated charges by mining company CGN-PRONICO, where he was accused of instigation to commit a crime, unlawful association, unlawful assembly and demonstrations, and damages and illegal detentions of four employees of Compañía Guatemalteca de Níquel SA.

These accusations followed his investigation and documentation of the pollution of Lake Izabal and the coverage of a protest by Maya Q'eqchi' communities and artisanal fishermen, where fisherman Carlos Maaz was killed in 2017.

While Front Line Defenders welcomes the conclusion, it condemns Carlos Ernesto Choc’s prosecution and Guatemala’s context of criminalisation and harassment against community journalists and HRDs.

Photo credit: Baudilio Choc 

Read more: https://www.frontlinedefenders.org/en/case/closure_of_proceedings_in_favor_of_journalist_carlos_ernesto_choc_chub_and_three_criminalized_artisanal_fishermen

#Guatemala",None,None,None,,Social Media
"SheTechpreneur Bootcamp aims to empower women in the field of technology and entrepreneurship, to create a gender-balanced society in the digital workspace and make entrepreneurship break the bias in the tech industry. 

The ultimate outcome of this Bootcamp is to produce women techpreneurs & technologists to fill the gender gap in our society.

#womenempowement  #education #entrepreneurship #sustainability #srilanka",Women,Positive,Non Discriminative,,Social Media
"UNFPA #SriLanka joined FPA Sri Lanka and Ambassade de France à Sri Lanka et aux Maldives for 'Period Proud', a day dedicated to interactive and educational acts to break the taboos and discrimination surrounding menstruation health.

For young girls, access to information about menstrual health and hygiene can make a difference in the world. Menstrual products must be accessible and acceptable without any legal, cultural, social or economical barriers.",Women,Positive,Non Discriminative,,Social Media
"OPEN CALL

The Women & Media Collective (WMC) and International Women’s Rights Action Watch Asia Pacific (IWRAW AP) will be co-hosting a training of trainers (ToT), entitled CEDAW and Macroeconomics: Advancing Gender Equality through Feminist, Human Rights-Based Economic Advocacy.

The TOT  is a three-day in-person gathering in Negombo, scheduled for 5-7 July 2023. The training sessions will be conducted in English.

The programme, based on IWRAW AP’s CEDAW Shadow Report Guideline on Gender Equality and Macroeconomics (GEM),  will be a balance between substantive knowledge exchange between facilitators and participants, and skills building on feminist participatory training theory and practice.

This open call is for 4 TOT participants, with prior experience or knowledge of CEDAW or international human rights law preferable.

Please send in your credentials to tharanga.wmc@gmail.com on or before the 25th of June 2023 to apply for the training sessions 

For more information, visit womenandmedia.org",Women,None,Non Discriminative,,Social Media
"The Westminster Foundation for Democracy(WFD)  launched two books focused on inclusion gaps in both health and transport sectors in Sri Lanka with research support from CEPA. 

Here's to exploring and understanding inclusion gaps, both reports can be accessed  through the WFD website.

On 19.10.2023, CEPA's Dilshani Ranawaka, Shaneendra Amarasinghe, and Gayathri Lokuge presented at the Westminster Foundation for Democracy's (WFD) launch of the 'Forum for Economic Inclusion and Policy Advocacy'. Their presentation was on two research studies conducted on inclusion gaps in the Health and Transport sectors, with a specific focus on the Upcountry Tamil community and the LGBTQIA+ community and their access to services within these two sectors. This event was attended by several policymakers as well at the British High Commissioner Mr. Andrew Patrick.",Tamil,Positive,Non Discriminative,,Social Media
"📍 Imagine a gender-equal world. A world free of bias, stereotypes and discrimination. A world that's diverse, equitable, and inclusive. A world where difference is valued and celebrated. 

📍 We, at DreamSpace Academy collectively working together to empower an environment where women lead, breaking the barriers, and prejudice dispelled to effect positive change in the world to embrace equality.

☝ Collectively we can all #BreakTheBias. - on International Women's Day (IWD) and beyond.

United Nations Trash for Trade OceanBiome Helping Wings - Sri Lanka Benzyme Ventures International Women's Day HER Sri Lanka i REACT

#IWD2022 #BreakTheBias #DreamSpace #Empoweringwomen #womenintech #equality #internationalwomensday",Women,Positive,Non Discriminative,,Social Media
"It is crucial to ensure the universal rights and public well-being of all! 

UNFPA Sri Lanka hosted a workshop, focusing on prevention and community involvement for gender based violence. Together, let's foster a safe environment for women, girls and other marginalized groups.

Gender-Based Violence (GBV) prevention requires collaboration across various sectors, including health, education, law enforcement, social services, and civil society organizations. Community engagement efforts should facilitate coordination and collaboration among these sectors to ensure a comprehensive and integrated approach to prevention. This includes sharing resources, expertise, and best practices, as well as coordinating responses to incidents of GBV.",Women,Positive,Non Discriminative,,Social Media
"There's an urgent need to update outdated laws surrounding abortion in Sri Lanka. As a society, this enables us to ensure the safety of women and girls, empowering them to exercise their rights. Learn more on the critical issues of abortion in Sri Lanka. 

https://www.instagram.com/p/C2r9HF_t5PD/",Women,Positive,Non Discriminative,,Social Media
"In the new year, join hands with UNFPA Sri Lanka in our collective mission for a world where every woman, girl, and young person can thrive in health and equality. 

Together, let's pave the way for a future filled with dignity and well-being for all ✨💫✨

UNFPA Asia and the Pacific",Women,Positive,Non Discriminative,,Social Media
"The rights enshrined in the Universal Declaration of Human Rights forge a path for equality, dignity, and respect for all, including persons with disabilities.

Discover your #HumanRights through our first ever Sinhala Sign Language guide 👇

---

මානව හිමිකම් පිළිබඳ විශ්ව ප‍්‍රකාශනයේ දක්වා ඇති අයිතිවාසිකම් ආබාධ සහිත පුද්ගලයන් ඇතුළු සියලූ දෙනාටම සමානාත්මතාවය, අභිමානය සහ ගෞරවය සඳහා මාවතක් සකස් කරයි.

අපගේ පළමු සිංහල සංඥා.  භාෂා මාර්ගෝපදේශය හරහා #මානවහිමිකම් හි බලය සොයා ගන්න 👇

",Sinhala,Positive,Non Discriminative,,Social Media
"We are all members of the same human family, with shared experiences and a common responsibility to demand action to support those who are most vulnerable and in need of assistance. 

A special thank you to Australian High Commission, Sri Lanka | Australian Government Department of Foreign Affairs and Trade",None,Positive,Non Discriminative,,Social Media
"Time is running out! 

16 days of Activism is an opportunity for us to: 

✅ Make your voice heard and strengthen its reach. 
✅ Stand in solidarity against gender-based violence  

Together, we have the power to create a violence-free world. #16DaysOfActivism #EndGBV

UNFPA Asia and the Pacific | UNFPA | United Nations Sri Lanka",Women,Positive,Non Discriminative,,Social Media
"Planning a family is a right and a choice. When a woman has the power of choice, she is empowered to shape her future.

UNFPA Sri Lanka advocates for every woman to be empowered to exercise her right to plan a family and her pregnancy by choice, and not by chance.

UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"Violence against women and girls is one of the most widespread, persistent and devastating human rights violations in our world. It affects women regardless of their age, background, or level of education. 

This violence takes many forms, including physical, sexual, or psychological violence, as well as economic abuse and exploitation.
The 16 days between 25 November, the International Day for the Elimination of Violence against Women, and 10 December, Human Rights Day, are known as the 16 Days of Activism against Gender-Based Violence Campaign, a time to galvanize action to end violence against women and girls around the world.

The colour orange🧡 represents a brighter future, free from violence against women and girls. 

Join with United Nations Sri Lanka to create a world where women and girls are truly safe🧡

UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"Join the enlightening session on ""Adolescent SRH: Advocacy and Rights in Emergencies"" with Sheri Bastien & Avni Amin World Health Organization (WHO) and Mr. Kunle Adeniyi UNFPA Sri Lanka discussing youth empowerment and policy in SRHR during emergencies. Participate in our Q&A on Facebook live!

🗓️ Date: January 12, 2024
🕟 Time: 4:45 PM - 7:20 PM (NPT)",None,Positive,None,,Social Media
"📣Registrations for the 2024 Front Line Defenders Annual Lecture are now open! This year, Afghan Woman Human Rights Defender (WHRD) and journalist, Horia Mosadiq, will visit some of our partner universities in Dublin, Galway and Belfast from 11-14 March with a lecture you won't want to miss.

Join us to learn more about the situation of women’s rights under the Taliban, and the struggle of Human Rights Defenders and Women Human Rights Defenders in a context of prolonged and profound repression of human rights in Afghanistan since the Taliban’s takeover in August 2021.

Spaces are limited! 🔗Register for free in Eventbrite:
Dublin: https://www.eventbrite.ie/e/2024-front-line-defenders-annual-lecture-dublin-tickets-818632290217
Galway: https://www.eventbrite.ie/e/2024-front-line-defenders-annual-lecture-galway-tickets-818707354737
Belfast: https://www.eventbrite.ie/e/2024-front-line-defenders-annual-lecture-belfast-tickets-818707655637",Women,Positive,Non Discriminative,,Social Media
"The Women and Media Collective launched its Conference Volume Titled “Working Hours: Exploring Gender Dimensions of Unpaid Care Work” on the 12th of June 2023, compiling a selection of research papers presented at the Conference on ‘Equality & Equity in Recognising Unpaid Care Work and Women’s Labour in South Asia’ convened by the Women and Media Collective (WMC) in collaboration with the Social Scientists’ Association (SSA) in October 2022 in Colombo, Sri Lanka.

The event started with the Welcome Address delivered by Ms. Tharanga de Silva, Director of Operations at the Women and Media Collective, extending a warm welcome to all attendees. Setting the tone for the evening, she highlighted the significance of the conference volume and its focus on exploring the gender dimensions of unpaid care work.

She was followed by the keynote speakers who took the stage and share their perspectives on the subject matter: Dr. Sepali Kottegoda, Director of Programmes at the Women and Media Collective, delivered a thought-provoking speech, shedding light on the importance of understanding unpaid care work’s gendered nature and its implications for society. Dr. Pradeep Peiris, Executive Director of the Social Scientists’ Association, provides valuable insights into the broader social, economic, and policy aspects related to unpaid care work, emphasizing the need for a holistic approach to address this critical issue.

A dynamic panel of experts provided their own thoughts on the Conference Volume that provided an engaging conversation with the audience of CSO, NGO and think tank Representatives.  The panelists included, Dr. Vagisha Gunasekera, of the Open University of Sri Lanka, Priyanthi Fernando, Executive Director of the International Women’s Rights Action Watch-Asia Pacific , Dr. Radhika Coomaraswamy, a human rights lawyer and former Under-Secretary-General of the United Nations.

As the event drew to a close, Ms. Kumudini Samuel offered closing remarks, summarizing the key takeaways from the panel discussion. Ms. Kumudini Samuel concluded the evening by inviting all participants to a reception, where further networking and conversations took place. The reception provides a platform for attendees to connect, share their thoughts, and continue engaging with the important topic of unpaid care work and its gendered dimensions.

With the launch of the conference volume, the WMC aims to create a platform for continued dialogue, research, and action towards creating a more equitable and inclusive society, recognizing and valuing the significant contributions of unpaid care work.

To access the full Conference Volume, Please visit https://womenandmedia.org/",Women,None,Non Discriminative,,Social Media
"Discover how women are breaking barriers in the Central Bank of Sri Lanka! 🇱🇰

https://satynmag.com/women-in-leadership-rise-in-central-bank-of-sri-lanka/

#srilanka #centralbank #CBSL #womeninleadership #womenleaders #satynmagprive #satynmag #womensmagazine",Women,Positive,Non Discriminative,,Social Media
"The ‘Dear Father’ program was conducted in Moratuwa, Padukka, Kolonnawa Divisional Secretariats creating awareness and organizing change champions for the program. The program aims at championing ‘Positive Masculinities’ towards equitable, responsive and non-violent fathers who are effectively involved with their families and are true allies of holistic women's empowerment.                                                                     #dearfather, #wif, #womensinternationalfoundation, #womenorganisation, #samurdhidepartment, #rotaryinternational, #rotarycolombouptown #srilanka #SriLankaCan",Women,Positive,Non Discriminative,,Social Media
"Break the silence, end the violence! 💪 

Gender-Based Violence is one of the most pervasive human rights violations and it needs to stop🛑 now. 

See what UNFPA is doing to #ENDviolence against women and girls: https://unf.pa/gbvd 

#GlobalGoals",Women,Positive,Non Discriminative,,Social Media
"The time for the event has been revised. 
UNFPA Sri Lanka is collaborating with the Perinatal Society of Sri Lanka (PSSL) to raise awareness on the challenges and importance of bridging gaps in disability in pregnancy. 

Register now to join the session on 6 September - https://forms.gle/hG4HNvCwLgwu8NmN6",Women,None,Non Discriminative,,Social Media
"Men play a crucial role in eliminating gender-based violence. By actively challenging harmful gender norms, they help build a more equitable society. 

UNFPA Sri Lanka emphasizes on their importance in achieving sustainable development and eliminating #GBV.

UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"To mark #16DaysofActivism, UNFPA Sri Lanka in collaboration with UN Sri Lanka, the Government of Sri Lanka, civil society and partners united to raise our voices to galavanize collective action to prevent violence against women and girls. 

We must ensure there are #NoExcuses4Violence🧡",Women,Positive,Non Discriminative,,Social Media
"UNFPA was honored to be part of the Pre-Congress Session on Migrants and Internal Displaced Persons during the 28th Annual Academic Sessions of the College of Community Physicians. 

Dr. Lahiru Kodithuwakku, UNFPA's Humanitarian Response Manager highlighted the importance of addressing Sexual and Reproductive Health needs and rights of internal migrants and those displaced during disasters.

Thank you to the IOM Sri Lanka and Maldives for co-organizing this vital session. Let's work together to ensure better health outcomes and rights for all.

#HealthForAll #MigrantsRights #SRHR #CommunityHealth",None,Positive,Non Discriminative,,Social Media
"Fourth awareness session of ‘’Dear Father’’ conducted successfully covering 65 Samurdhi Development Officers from Seethawaka Divisional Secretariat. Great engagement, great enthusiasm and great support. Looking forward for their active participation in making this campaign a success.  
#DearFather #WIF #ROTARY #RotaryColomboUptown #SAMURDHI #Empoweringfathers #empoweringwomen #womensinternationalfoundation #womenorganisations",Women,Positive,Non Discriminative,,Social Media
"#Midwives: the unsung heroes. 🩺❤️ They work tirelessly to make motherhood safer, bringing new life into the world and championing rights and choices.

When we invest in midwifery, we invest in humanity: https://unf.pa/mid

UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"Dr. Sepali Kottegoda, Director Programs, Women's Economic Rights and Media and Editor of Working Hours, will be discussing some hard facts about the unrecognized, unpaid, and under-valued contribution made by women to the economy will be revealed on Kaleidoscope Let's Talk this Thursday. with Savithri Rodrigo on the 13th of July.

Tune in on Thursday via,

LinkedIn
https://www.linkedin.com/posts/kaleidoscope-with-savithri-rodrigo_srilank-lka-sepalikottegoda-activity-7084095028792365056-tCpQ?utm_source=share&utm_medium=member_ios

FB
https://m.facebook.com/story.php?story_fbid=pfbid02TRj9mkJg5hgsqMrM5nRxQRwc42LKhUmW25MNhqd8SmwpnUgPgcL36cv61vQBsGZdl&id=100063528040642

IG
https://www.instagram.com/p/CugsxWqhIiS/?igshid=MzRlODBiNWFlZA==

#srilank #lka #sepalikottegoda #womenandmediacollective #womenatwork #unpaidwork #carework #carers #caregivers #economiccontribution #kaleidoscopewithsavithrirodrigo #savithrirodrigo #prishanpandithage #prishanpandithagestudios #letstalk",Women,Positive,Non Discriminative,,Social Media
"Some problems with the proposed microfinance and credit regulatory bill (2023) 

#lawandsocietytrust #lawreform #microcredit #microfinance #EconomicJustice #credit #ruraleconomy #SriLanka #lka",None,None,None,,Social Media
"Join UNFPA Sri Lanka in taking a united stance against violence towards women and girls in #SriLanka. 

As the #16DaysofActivism commences, let's actively involve men, boys and our communities as key participants in putting an end to gender-based violence.

UNFPA Asia and the Pacific | UNFPA | United Nations Sri Lanka",Women,Positive,Non Discriminative,,Social Media
"As the new year approaches, join UNFPA Sri Lanka to strive for a world where every woman, girl, and young person can thrive with good health and equal opportunities. Let's commit to a future filled with dignity and wellbeing for all🎄✨️🎉🎄 

UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"More than two thirds of the 800 million people globally who cannot read are women. 

As we mark #LiteracyDay, it is vital we strive for a future where every woman and girl can read, learn, and embrace the infinite possibilities available to them📖",Women,Positive,Non Discriminative,,Social Media
"On the 1st #WorldCleanEnergyDay, we shine a light on Kamal Shrimp Farm that has been supported with an alternative source of #CleanEnergy in #Sri Lanka! 

Together with the Governments of Sri Lanka and China, United Nations Development Programme - UNDP in Sri Lanka and China have implemented a project on Transitioning to Sustainable Energy Uses (TSSC Project) in the Agro-Industry in Sri Lanka under South-South Cooperation. This will address sustainable development challenges related to international cooperation, access to energy for improved service delivery, and sustainable integrated farming practices to support Sri Lanka in reaching its Greenhouse Gas (GHG) emission reduction targets by 2030.

READ MORE: https://undpsrilanka.exposure.co/paddling-towards-a-sustainable-future
UNDP Ethiopia Chinese Embassy of Sri Lanka United Nations Sri Lanka UNDP in Asia and the Pacific",None,Positive,None,,Social Media
"On #WorldAidsDay - a reminder to never give up hope. Let's support efforts to increase access to treatment. prevention, and awareness programs. Together, we can contribute to a healthier, stigma-free world.",Women,Positive,Non Discriminative,,Social Media
"With the support of our partners, UNFPA Sri Lanka is devoted to assisting women, girls, and at-risk communities in navigating the economic crisis, as many in #SriLanka face numerous daily challenges. We offer support through the provision of dignity kits and cash vouchers.

UNFPA Asia and the Pacific",Women,Positive,Non Discriminative,,Social Media
"🌍 Climate Update🌡️: World Meteorological Organization predicts El Niño will persist till the end of 2023, causing global climate disruptions. As the climate crisis grows, unified and strategic action is required, especially to prioritize the at-risk communities, mainly women and girls who face heightened risks.

Link: https://youtu.be/AcwpLNi70ts

#ClimateAction #GenderEquality #UNFPA",Women,Positive,Non Discriminative,,Social Media
"Explore the analysis on Sri Lanka's anti-terrorism legal framework and its implications on human rights. This in-depth analysis has been created to inform policymakers and citizens about the intricate balance between national security and individual rights. 

 #lawandsocietytrust #SriLanka #ATA  #TerrorismAct #CounterTerrorism #HumanRights #PolicyAnalysis #lka",None,None,None,,Social Media
"IESC’s USDA Food for Progress-funded Agricultural Trade and Climate Smart Innovations (ATraCSI) team is providing technical and legal assistance to the National Plant, Animal Health, and Food Safety Service (SENASA) in Honduras. ATraCSI aims to support SENASA’s Agri-Food Safety Technical Directorate to formalize a new food safety regulation. IESC's technical and legal assistance is critical to helping SENASA align these regulations with risk analysis principles and adhere to international reference standards. Through ATraCSI, IESC and SENASA will work closely to promote harmonization within the global agricultural community.",None,None,None,,Social Media
"Practicing #consent is an expression of love and respect 🧡

Let UNFPA—the UN sexual and reproductive health agency—explain: http://unf.pa/consent

#WorldSexualHealthDay",Women,Positive,Non Discriminative,,Social Media
"Gender-based violence is a grave violation of human rights. Empowering individuals and investing in resources can create a world free from gender-based violence. 

Hear UNFPA Sri Lanka Representative Kunle Adeniyi share his insights why investing in prevention efforts are vital to ending violence against women and girls. 

UNFPA Asia and the Pacific | UNFPA | United Nations Sri Lanka",Women,Positive,Non Discriminative,,Social Media
